Executing fixed runner now.
Test being executed: RegressionTest0.test001
SLF4J: Class path contains multiple SLF4J bindings.
SLF4J: Found binding in [jar:file:/home/user/dependent-tests-impact/experiments/impact-tools/randoop.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: Found binding in [jar:file:/home/user/dependent-tests-impact/experiments/activemq-old/activemq-camel/target/dependency/slf4j-log4j12-1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
SLF4J: Actual binding is of type [org.slf4j.impl.SimpleLoggerFactory]
Test being executed: RegressionTest0.test040
Test being executed: RegressionTest0.test041
Test being executed: RegressionTest0.test042
Test being executed: RegressionTest0.test043
Test being executed: RegressionTest0.test044
Test being executed: RegressionTest0.test045
Test being executed: RegressionTest0.test046
Test being executed: RegressionTest0.test047
Test being executed: RegressionTest0.test048
Test being executed: RegressionTest0.test049
Test being executed: RegressionTest0.test050
Test being executed: RegressionTest0.test051
Test being executed: RegressionTest0.test052
Test being executed: RegressionTest0.test053
Test being executed: RegressionTest0.test054
Test being executed: RegressionTest0.test055
Test being executed: RegressionTest0.test056
Test being executed: RegressionTest0.test057
Test being executed: RegressionTest0.test058
Test being executed: RegressionTest0.test059
Test being executed: RegressionTest0.test060
Test being executed: RegressionTest0.test061
Test being executed: RegressionTest0.test062
Test being executed: RegressionTest0.test063
Test being executed: RegressionTest0.test064
Test being executed: RegressionTest0.test065
Test being executed: RegressionTest0.test066
Test being executed: RegressionTest0.test067
Test being executed: RegressionTest0.test068
Test being executed: RegressionTest0.test069
Test being executed: RegressionTest0.test070
Test being executed: RegressionTest0.test071
Test being executed: RegressionTest0.test072
Test being executed: RegressionTest0.test073
Test being executed: RegressionTest0.test074
Test being executed: RegressionTest0.test075
Test being executed: RegressionTest0.test076
Test being executed: RegressionTest0.test077
Test being executed: RegressionTest0.test078
Test being executed: RegressionTest0.test079
Test being executed: RegressionTest0.test080
Test being executed: RegressionTest0.test081
Test being executed: RegressionTest0.test082
Test being executed: RegressionTest0.test083
Test being executed: RegressionTest0.test084
Test being executed: RegressionTest0.test085
Test being executed: RegressionTest0.test086
Test being executed: RegressionTest0.test087
Test being executed: RegressionTest0.test088
Test being executed: RegressionTest0.test089
Test being executed: RegressionTest0.test090
Test being executed: RegressionTest0.test091
Test being executed: RegressionTest0.test092
Test being executed: RegressionTest0.test093
Test being executed: RegressionTest0.test094
Test being executed: RegressionTest0.test095
Test being executed: RegressionTest0.test096
Test being executed: RegressionTest0.test097
Test being executed: RegressionTest0.test098
Test being executed: RegressionTest0.test099
Test being executed: RegressionTest0.test100
Test being executed: RegressionTest0.test101
Test being executed: RegressionTest0.test102
Test being executed: RegressionTest0.test103
Test being executed: RegressionTest0.test104
Test being executed: RegressionTest0.test105
Test being executed: RegressionTest0.test106
Test being executed: RegressionTest0.test107
Test being executed: RegressionTest0.test108
Test being executed: RegressionTest0.test109
Test being executed: RegressionTest0.test110
Test being executed: RegressionTest0.test111
Test being executed: RegressionTest0.test112
Test being executed: RegressionTest0.test113
Test being executed: RegressionTest0.test114
Test being executed: RegressionTest0.test115
Test being executed: RegressionTest0.test116
Test being executed: RegressionTest0.test117
Test being executed: RegressionTest0.test118
Test being executed: RegressionTest0.test119
Test being executed: RegressionTest0.test120
Test being executed: RegressionTest0.test121
Test being executed: RegressionTest0.test122
Test being executed: RegressionTest0.test123
Test being executed: RegressionTest0.test124
Test being executed: RegressionTest0.test125
Test being executed: RegressionTest0.test126
Test being executed: RegressionTest0.test127
Test being executed: RegressionTest0.test128
Test being executed: RegressionTest0.test129
Test being executed: RegressionTest0.test130
Test being executed: RegressionTest0.test131
Test being executed: RegressionTest0.test132
Test being executed: RegressionTest0.test133
Test being executed: RegressionTest0.test134
Test being executed: RegressionTest0.test135
Test being executed: RegressionTest0.test136
Test being executed: RegressionTest0.test137
Test being executed: RegressionTest0.test138
Test being executed: RegressionTest0.test139
Test being executed: RegressionTest0.test140
Test being executed: RegressionTest0.test141
Test being executed: RegressionTest0.test142
Test being executed: RegressionTest0.test143
Test being executed: RegressionTest0.test144
Test being executed: RegressionTest0.test145
Test being executed: RegressionTest0.test146
Test being executed: RegressionTest0.test147
Test being executed: RegressionTest0.test148
Test being executed: RegressionTest0.test149
Test being executed: RegressionTest0.test150
Test being executed: RegressionTest0.test151
Test being executed: RegressionTest0.test152
Test being executed: RegressionTest0.test153
Test being executed: RegressionTest0.test154
Test being executed: RegressionTest0.test155
Test being executed: RegressionTest0.test156
Test being executed: RegressionTest0.test157
Test being executed: RegressionTest0.test158
Test being executed: RegressionTest0.test159
Test being executed: RegressionTest0.test160
Test being executed: RegressionTest0.test161
Test being executed: RegressionTest0.test162
Test being executed: RegressionTest0.test163
Test being executed: RegressionTest0.test164
Test being executed: RegressionTest0.test165
Test being executed: RegressionTest0.test166
Test being executed: RegressionTest0.test167
Test being executed: RegressionTest0.test168
Test being executed: RegressionTest0.test169
Test being executed: RegressionTest0.test170
Test being executed: RegressionTest0.test171
Test being executed: RegressionTest0.test172
Test being executed: RegressionTest0.test173
Test being executed: RegressionTest0.test174
Test being executed: RegressionTest0.test175
Test being executed: RegressionTest0.test176
Test being executed: RegressionTest0.test177
Test being executed: RegressionTest0.test178
Test being executed: RegressionTest0.test179
Test being executed: RegressionTest0.test180
Test being executed: RegressionTest0.test181
Test being executed: RegressionTest0.test182
Test being executed: RegressionTest0.test183
Test being executed: RegressionTest0.test184
Test being executed: RegressionTest0.test185
Test being executed: RegressionTest0.test186
Test being executed: RegressionTest0.test187
Test being executed: RegressionTest0.test188
Test being executed: RegressionTest0.test189
Test being executed: RegressionTest0.test190
Test being executed: RegressionTest0.test002
Test being executed: RegressionTest0.test003
Test being executed: RegressionTest0.test008
Test being executed: RegressionTest0.test009
Test being executed: RegressionTest0.test010
Test being executed: RegressionTest0.test011
Test being executed: RegressionTest0.test004
Test being executed: RegressionTest0.test005
Test being executed: RegressionTest0.test006
Test being executed: RegressionTest0.test007
Test being executed: RegressionTest0.test012
Test being executed: RegressionTest0.test013
Test being executed: RegressionTest0.test014
Test being executed: RegressionTest0.test015
Test being executed: RegressionTest0.test016
Test being executed: RegressionTest0.test017
Test being executed: RegressionTest0.test018
Test being executed: RegressionTest0.test019
Test being executed: RegressionTest0.test020
Test being executed: RegressionTest0.test021
Test being executed: RegressionTest0.test022
Test being executed: RegressionTest0.test023
Test being executed: RegressionTest0.test024
Test being executed: RegressionTest0.test025
Test being executed: RegressionTest0.test026
Test being executed: RegressionTest0.test027
Test being executed: RegressionTest0.test028
Test being executed: RegressionTest0.test029
Test being executed: RegressionTest0.test030
Test being executed: RegressionTest0.test031
Test being executed: RegressionTest0.test032
Test being executed: RegressionTest0.test033
Test being executed: RegressionTest0.test034
Test being executed: RegressionTest0.test035
Test being executed: RegressionTest0.test036
Test being executed: RegressionTest0.test037
Test being executed: RegressionTest0.test038
Test being executed: RegressionTest0.test039
Test being executed: RegressionTest0.test191
Test being executed: RegressionTest0.test192
Test being executed: RegressionTest0.test193
Test being executed: RegressionTest0.test194
Test being executed: RegressionTest0.test195
Test being executed: RegressionTest0.test196
Test being executed: RegressionTest0.test197
Test being executed: RegressionTest0.test198
Test being executed: RegressionTest0.test199
Test being executed: RegressionTest0.test200
Test being executed: RegressionTest0.test201
Test being executed: RegressionTest0.test202
Test being executed: RegressionTest0.test203
Test being executed: RegressionTest0.test204
Test being executed: RegressionTest0.test205
Test being executed: RegressionTest0.test206
Test being executed: RegressionTest0.test207
Test being executed: RegressionTest0.test208
Test being executed: RegressionTest0.test209
Test being executed: RegressionTest0.test210
Test being executed: RegressionTest0.test211
Test being executed: RegressionTest0.test212
Test being executed: RegressionTest0.test213
Test being executed: RegressionTest0.test214
Test being executed: RegressionTest0.test215
Test being executed: RegressionTest0.test216
Test being executed: RegressionTest0.test217
Test being executed: RegressionTest0.test218
Test being executed: RegressionTest0.test219
Test being executed: RegressionTest0.test220
Test being executed: RegressionTest0.test221
