Executing fixed runner now.
Test being executed: com.thoughtworks.acceptance.FinalFieldsTest.testExceptionThrownUponSerializationIfNotSupport
Test being executed: com.thoughtworks.acceptance.FinalFieldsTest.testSerializeFinalFieldsIfSupported
Test being executed: com.thoughtworks.acceptance.RelativeXPathCircularReferenceTest.testCircularReferenceXml
Test being executed: com.thoughtworks.acceptance.RelativeXPathCircularReferenceTest.testCircularReferenceToSelfXml
Test being executed: com.thoughtworks.acceptance.RelativeXPathCircularReferenceTest.testCircularReference
Test being executed: com.thoughtworks.acceptance.RelativeXPathCircularReferenceTest.testCircularReferenceToSelf
Test being executed: com.thoughtworks.acceptance.RelativeXPathCircularReferenceTest.testDeepCircularReferences
Test being executed: com.thoughtworks.acceptance.AbstractCircularReferenceTest.testCircularReference
Test being executed: com.thoughtworks.acceptance.AbstractCircularReferenceTest.testCircularReferenceToSelf
Test being executed: com.thoughtworks.acceptance.AbstractCircularReferenceTest.testDeepCircularReferences
Test being executed: com.thoughtworks.acceptance.ConcurrencyTest.testConcurrentXStreaming
Test being executed: com.thoughtworks.acceptance.XmlFriendlyTest.testCanDealWithUtfText
Test being executed: com.thoughtworks.acceptance.XmlFriendlyTest.testCanDealWithNullCharactersInText
Test being executed: com.thoughtworks.acceptance.XmlFriendlyTest.testEscapesXmlUnfriendlyChars
Test being executed: com.thoughtworks.acceptance.XmlFriendlyTest.testDecimalFormatSymbols
Test being executed: com.thoughtworks.acceptance.XmlFriendlyTest.testSlashRSlashSlashSlashN
Test being executed: com.thoughtworks.acceptance.XmlFriendlyTest.testSupportsFieldsWithDollarChar
Test being executed: com.thoughtworks.acceptance.XmlFriendlyTest.testSupportsFieldsWithUnderscoreChar
Test being executed: com.thoughtworks.acceptance.XmlFriendlyTest.testSupportsUnderscoreInShortClassName
Test being executed: com.thoughtworks.acceptance.ReflectionClassesTest.testReflectionMethod
Test being executed: com.thoughtworks.acceptance.ReflectionClassesTest.testReflectionConstructor
Test being executed: com.thoughtworks.acceptance.ReflectionClassesTest.testSupportsPrimitiveTypes
Test being executed: com.thoughtworks.acceptance.ClassLoaderTest.testAllowsClassLoaderToBeOverriden
Test being executed: com.thoughtworks.acceptance.AbsoluteXPathNestedCircularReferenceTest.testWeirdCircularReference
Test being executed: com.thoughtworks.acceptance.ConcreteClassesTest.testCustomInterfaceCanHaveMultipleImplementations
Test being executed: com.thoughtworks.acceptance.ConcreteClassesTest.testDefaultImplementationOfInterface
Test being executed: com.thoughtworks.acceptance.ConcreteClassesTest.testAlternativeImplementationOfInterface
Test being executed: com.thoughtworks.acceptance.MapTest.testObjectCanContainMapAsField
Test being executed: com.thoughtworks.acceptance.MapTest.testSupportsOldHashtables
Test being executed: com.thoughtworks.acceptance.MapTest.testObjectCanContainDifferentMapImplementations
Test being executed: com.thoughtworks.acceptance.MapTest.testMapCanContainBasicObjects
Test being executed: com.thoughtworks.acceptance.MapTest.testMapCanContainCustomObjects
Test being executed: com.thoughtworks.acceptance.MapTest.testLinkedHashMapRetainsOrdering
Test being executed: com.thoughtworks.acceptance.MapTest.testAllowsEntryToBeAliasedToSomethingElse
Test being executed: com.thoughtworks.acceptance.MapTest.testCanExportSubclassesOfMap
Test being executed: com.thoughtworks.acceptance.AbsoluteXPathCircularReferenceTest.testCircularReferenceXml
Test being executed: com.thoughtworks.acceptance.AbsoluteXPathCircularReferenceTest.testCircularReferenceToSelfXml
Test being executed: com.thoughtworks.acceptance.AbsoluteXPathCircularReferenceTest.testCircularReference
Test being executed: com.thoughtworks.acceptance.AbsoluteXPathCircularReferenceTest.testCircularReferenceToSelf
Test being executed: com.thoughtworks.acceptance.AbsoluteXPathCircularReferenceTest.testDeepCircularReferences
Test being executed: com.thoughtworks.acceptance.AbstractDuplicateReferenceTest.testReferencesAreTheSameObjectWhenDeserialized
Test being executed: com.thoughtworks.acceptance.AbstractDuplicateReferenceTest.testReferencesNotUsedForSimpleImmutableValueTypes
Test being executed: com.thoughtworks.acceptance.AbstractDuplicateReferenceTest.testReferencesToImplicitCollectionIsNotPossible
Test being executed: com.thoughtworks.acceptance.AbstractDuplicateReferenceTest.testReferencesUsedForSimpleMutableValueTypes
Test being executed: com.thoughtworks.acceptance.AbstractDuplicateReferenceTest.testMultipleReferencesToObjectsWithNoChildren
Test being executed: com.thoughtworks.acceptance.AbstractDuplicateReferenceTest.testReferencesAreWorking
Test being executed: com.thoughtworks.acceptance.DefaultCollectionTest.testWith
Test being executed: com.thoughtworks.acceptance.DefaultCollectionTest.testWithout
Test being executed: com.thoughtworks.acceptance.ArraysTest.testUninitializedArray
Test being executed: com.thoughtworks.acceptance.ArraysTest.testArrayInCustomObject
Test being executed: com.thoughtworks.acceptance.ArraysTest.testDeserializingObjectWhichContainsAPrimitiveLongArray
Test being executed: com.thoughtworks.acceptance.ArraysTest.testHandlesArrayClassesThatHaveNotYetBeenLoaded
Test being executed: com.thoughtworks.acceptance.ArraysTest.testStringArray
Test being executed: com.thoughtworks.acceptance.ArraysTest.testArrayOfMixedTypes
Test being executed: com.thoughtworks.acceptance.ArraysTest.testEmptyArray
Test being executed: com.thoughtworks.acceptance.ArraysTest.testPrimitiveArray
