jfreechart-ts-statement-orig-order-results.txt
Number of Inconsistent Tests Found: 0
Number of additional tests: 0
Number of Tests Missing: 1946
                                                                                                                  Original order result:        Test order result:
org.jfree.chart.needle.junit.LineNeedleTests.testCloning:                                                         PASS
org.jfree.chart.plot.dial.junit.StandardDialScaleTests.testAngleToValue:                                          PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testIterateRangeBounds:                                        PASS
org.jfree.chart.plot.dial.junit.DialPointerTests.testEquals:                                                      PASS
org.jfree.chart.labels.junit.StandardCategoryItemLabelGeneratorTests.testHashCode:                                PASS
org.jfree.chart.labels.junit.StandardPieSectionLabelGeneratorTests.testHashCode:                                  PASS
org.jfree.chart.renderer.xy.junit.XYStepRendererTests.testPublicCloneable:                                        PASS
org.jfree.chart.renderer.xy.junit.XYSplineRendererTests.testEquals:                                               PASS
org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests.testGetLegendItemSeriesIndex:                       PASS
org.jfree.data.xy.junit.YIntervalSeriesTests.testSetMaximumItemCount:                                             PASS
org.jfree.chart.plot.junit.ValueMarkerTests.testEquals:                                                           PASS
org.jfree.chart.plot.junit.CompassPlotTests.testEquals:                                                           PASS
org.jfree.data.xy.junit.XYSeriesTests.testRemove2:                                                                PASS
org.jfree.data.time.junit.DayTests.testEqualsSelf:                                                                PASS
org.jfree.data.xy.junit.XYIntervalSeriesCollectionTests.test1170825:                                              PASS
org.jfree.data.xy.junit.YIntervalTests.testCloning:                                                               PASS
org.jfree.chart.junit.JFreeChartTests.testGetSubtitles:                                                           PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests.testMs2BaseTimelineExceptionSegments:                           PASS
org.jfree.data.gantt.junit.TaskSeriesCollectionTests.testGetColumnIndex:                                          PASS
org.jfree.data.general.junit.DatasetUtilitiesTests.testIterateDomainBounds_NaN2:                                  PASS
org.jfree.data.time.ohlc.junit.OHLCItemTests.testConstructor1:                                                    PASS
org.jfree.data.xy.junit.VectorSeriesCollectionTests.testPublicCloneable:                                          PASS
org.jfree.data.time.junit.TimeSeriesTests.testBug1075255:                                                         PASS
org.jfree.chart.annotations.junit.XYTextAnnotationTests.testEquals:                                               PASS
org.jfree.data.time.junit.MillisecondTests.testGetLastMillisecondWithTimeZone:                                    PASS
org.jfree.data.time.junit.YearTests.test1900Next:                                                                 PASS
org.jfree.data.time.ohlc.junit.OHLCTests.testSerialization:                                                       PASS
org.jfree.chart.plot.junit.XYPlotTests.testRemoveAnnotation:                                                      PASS
org.jfree.data.xy.junit.VectorSeriesTests.testClear:                                                              PASS
org.jfree.data.xy.junit.IntervalXYDelegateTests.testCloning:                                                      PASS
org.jfree.chart.annotations.junit.CategoryPointerAnnotationTests.testCloning:                                     PASS
org.jfree.data.xy.junit.VectorSeriesTests.testCloning:                                                            PASS
org.jfree.data.statistics.junit.SimpleHistogramDatasetTests.testCloning:                                          PASS
org.jfree.chart.renderer.xy.junit.XYStepAreaRendererTests.testPublicCloneable:                                    PASS
org.jfree.chart.renderer.category.junit.StandardBarPainterTests.testCloning:                                      PASS
org.jfree.chart.axis.junit.SegmentedTimelineTests.testSerialization2:                                             PASS
org.jfree.data.time.junit.MillisecondTests.testGetFirstMillisecondWithTimeZone:                                   PASS
org.jfree.data.xy.junit.YIntervalSeriesCollectionTests.testEquals:                                                PASS
org.jfree.chart.labels.junit.StandardXYSeriesLabelGeneratorTests.testGenerateLabel:                               PASS
org.jfree.chart.renderer.xy.junit.CandlestickRendererTests.testPublicCloneable:                                   PASS
org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests.testHashcode:                                        PASS
org.jfree.data.statistics.junit.DefaultMultiValueCategoryDatasetTests.testGetColumnCount:                         PASS
org.jfree.chart.labels.junit.StandardXYItemLabelGeneratorTests.testSerialization:                                 PASS
org.jfree.chart.renderer.category.junit.AreaRendererTests.testHashcode:                                           PASS
org.jfree.chart.renderer.xy.junit.StandardXYItemRendererTests.testPublicCloneable:                                PASS
org.jfree.data.time.junit.TimeSeriesTests.testAddOrUpdate4:                                                       PASS
org.jfree.chart.plot.junit.PieLabelRecordTests.testEquals:                                                        PASS
org.jfree.data.statistics.junit.DefaultStatisticalCategoryDatasetTests.testGetRangeLowerBound:                    PASS
